sample-id	Sample-or-Control	day	Fung-Treatment	PMA-Treatment	Sample
#q2:types	categorical	numeric	categorical	categorical	categorical
FvP-0d-plus-CH1	True Sample	0	Copper High	TRUE	FvP 0d plus CH1
FvP-0d-plus-CH2	True Sample	0	Copper High	TRUE	FvP 0d plus CH2
FvP-0d-plus-CH3	True Sample	0	Copper High	TRUE	FvP 0d plus CH3
FvP-0d-plus-CL1	True Sample	0	Copper Low	TRUE	FvP 0d plus CL1
FvP-0d-plus-CL2	True Sample	0	Copper Low	TRUE	FvP 0d plus CL2
FvP-0d-plus-CL3	True Sample	0	Copper Low	TRUE	FvP 0d plus CL3
FvP-0d-plus-SH1	True Sample	0	Sulphur High	TRUE	FvP 0d plus SH1
FvP-0d-plus-SH2	True Sample	0	Sulphur High	TRUE	FvP 0d plus SH2
FvP-0d-plus-SH3	True Sample	0	Sulphur High	TRUE	FvP 0d plus SH3
FvP-0d-plus-SL1	True Sample	0	Sulphur Low	TRUE	FvP 0d plus SL1
FvP-0d-plus-SL2	True Sample	0	Sulphur Low	TRUE	FvP 0d plus SL2
FvP-0d-plus-SL3	True Sample	0	Sulphur Low	TRUE	FvP 0d plus SL3
FvP-0d-plus-W1	True Sample	0	Water	TRUE	FvP 0d plus W1
FvP-0d-plus-W2	True Sample	0	Water	TRUE	FvP 0d plus W2
FvP-0d-plus-W3	True Sample	0	Water	TRUE	FvP 0d plus W3
FvP-1d-plus-CH1	True Sample	1	Copper High	TRUE	FvP 1d plus CH1
FvP-1d-plus-CH2	True Sample	1	Copper High	TRUE	FvP 1d plus CH2
FvP-1d-plus-CH3	True Sample	1	Copper High	TRUE	FvP 1d plus CH3
FvP-1d-plus-CL1	True Sample	1	Copper Low	TRUE	FvP 1d plus CL1
FvP-1d-plus-CL2	True Sample	1	Copper Low	TRUE	FvP 1d plus CL2
FvP-1d-plus-CL3	True Sample	1	Copper Low	TRUE	FvP 1d plus CL3
FvP-1d-plus-SH1	True Sample	1	Sulphur High	TRUE	FvP 1d plus SH1
FvP-1d-plus-SH2	True Sample	1	Sulphur High	TRUE	FvP 1d plus SH2
FvP-1d-plus-SH3	True Sample	1	Sulphur High	TRUE	FvP 1d plus SH3
FvP-1d-plus-SL1	True Sample	1	Sulphur Low	TRUE	FvP 1d plus SL1
FvP-1d-plus-SL2	True Sample	1	Sulphur Low	TRUE	FvP 1d plus SL2
FvP-1d-plus-SL3	True Sample	1	Sulphur Low	TRUE	FvP 1d plus SL3
FvP-1d-plus-W1	True Sample	1	Water	TRUE	FvP 1d plus W1
FvP-1d-plus-W2	True Sample	1	Water	TRUE	FvP 1d plus W2
FvP-1d-plus-W3	True Sample	1	Water	TRUE	FvP 1d plus W3
FvP-7d-plus-CH1	True Sample	7	Copper High	TRUE	FvP 7d plus CH1
FvP-7d-plus-CH2	True Sample	7	Copper High	TRUE	FvP 7d plus CH2
FvP-7d-plus-CH3	True Sample	7	Copper High	TRUE	FvP 7d plus CH3
FvP-7d-plus-CL1	True Sample	7	Copper Low	TRUE	FvP 7d plus CL1
FvP-7d-plus-CL2	True Sample	7	Copper Low	TRUE	FvP 7d plus CL2
FvP-7d-plus-CL3	True Sample	7	Copper Low	TRUE	FvP 7d plus CL3
FvP-7d-plus-SH1	True Sample	7	Sulphur High	TRUE	FvP 7d plus SH1
FvP-7d-plus-SH2	True Sample	7	Sulphur High	TRUE	FvP 7d plus SH2
FvP-7d-plus-SH3	True Sample	7	Sulphur High	TRUE	FvP 7d plus SH3
FvP-7d-plus-SL1	True Sample	7	Sulphur Low	TRUE	FvP 7d plus SL1
FvP-7d-plus-SL2	True Sample	7	Sulphur Low	TRUE	FvP 7d plus SL2
FvP-7d-plus-SL3	True Sample	7	Sulphur Low	TRUE	FvP 7d plus SL3
FvP-7d-plus-W1	True Sample	7	Water	TRUE	FvP 7d plus W1
FvP-7d-plus-W2	True Sample	7	Water	TRUE	FvP 7d plus W2
FvP-7d-plus-W3	True Sample	7	Water	TRUE	FvP 7d plus W3
FvP-14d-plus-CH1	True Sample	14	Copper High	TRUE	FvP 14d plus CH1
FvP-14d-plus-CH2	True Sample	14	Copper High	TRUE	FvP 14d plus CH2
FvP-14d-plus-CH3	True Sample	14	Copper High	TRUE	FvP 14d plus CH3
FvP-14d-plus-CL1	True Sample	14	Copper Low	TRUE	FvP 14d plus CL1
FvP-14d-plus-CL2	True Sample	14	Copper Low	TRUE	FvP 14d plus CL2
FvP-14d-plus-CL3	True Sample	14	Copper Low	TRUE	FvP 14d plus CL3
FvP-14d-plus-SH1	True Sample	14	Sulphur High	TRUE	FvP 14d plus SH1
FvP-14d-plus-SH2	True Sample	14	Sulphur High	TRUE	FvP 14d plus SH2
FvP-14d-plus-SH3	True Sample	14	Sulphur High	TRUE	FvP 14d plus SH3
FvP-14d-plus-SL1	True Sample	14	Sulphur Low	TRUE	FvP 14d plus SL1
FvP-14d-plus-SL2	True Sample	14	Sulphur Low	TRUE	FvP 14d plus SL2
FvP-14d-plus-SL3	True Sample	14	Sulphur Low	TRUE	FvP 14d plus SL3
FvP-14d-plus-W1	True Sample	14	Water	TRUE	FvP 14d plus W1
FvP-14d-plus-W2	True Sample	14	Water	TRUE	FvP 14d plus W2
FvP-14d-plus-W3	True Sample	14	Water	TRUE	FvP 14d plus W3
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
FvP-21d-plus-CH1	True Sample	21	Copper High	TRUE	FvP 21d plus CH1
FvP-21d-plus-CH2	True Sample	21	Copper High	TRUE	FvP 21d plus CH2
FvP-21d-plus-CH3	True Sample	21	Copper High	TRUE	FvP 21d plus CH3
FvP-21d-plus-CL1	True Sample	21	Copper Low	TRUE	FvP 21d plus CL1
FvP-21d-plus-CL2	True Sample	21	Copper Low	TRUE	FvP 21d plus CL2
FvP-21d-plus-CL3	True Sample	21	Copper Low	TRUE	FvP 21d plus CL3
FvP-21d-plus-SH1	True Sample	21	Sulphur High	TRUE	FvP 21d plus SH1
FvP-21d-plus-SH2	True Sample	21	Sulphur High	TRUE	FvP 21d plus SH2
FvP-21d-plus-SH3	True Sample	21	Sulphur High	TRUE	FvP 21d plus SH3
FvP-21d-plus-SL1	True Sample	21	Sulphur Low	TRUE	FvP 21d plus SL1
FvP-21d-plus-SL2	True Sample	21	Sulphur Low	TRUE	FvP 21d plus SL2
FvP-21d-plus-SL3	True Sample	21	Sulphur Low	TRUE	FvP 21d plus SL3
FvP-21d-plus-W1	True Sample	21	Water	TRUE	FvP 21d plus W1
FvP-21d-plus-W2	True Sample	21	Water	TRUE	FvP 21d plus W2
FvP-21d-plus-W3	True Sample	21	Water	TRUE	FvP 21d plus W3